id	onSequence	start	end	strand	name	annotation	species	source	method	score
3944	8078	1	385	1	OTG14527.1	putative zinc finger, CCHC-type	Helianthus annuus	nr	diaBlastP	3.4e-57
3945	8078	1	385	1	XP_022018194.1	uncharacterized protein LOC110918139	Helianthus annuus	nr	diaBlastP	5.4e-55
3946	8078	1	385	1	XP_022022335.1	uncharacterized protein LOC110922327	Helianthus annuus	nr	diaBlastP	7.1e-55
3947	8081	24	333	1	XP_021995438.1	uncharacterized protein LOC110892589	Helianthus annuus	nr	diaBlastP	1.5e-72
3948	8081	24	337	1	XP_021984626.1	uncharacterized protein LOC110880341	Helianthus annuus	nr	diaBlastP	2.6e-72
3949	8081	24	337	1	XP_022041746.1	uncharacterized protein LOC110944391	Helianthus annuus	nr	diaBlastP	2.2e-71
3950	8081	18	337	1	XP_022023832.1	uncharacterized protein LOC110924103	Helianthus annuus	nr	diaBlastP	2.2e-71
3951	8081	24	300	1	XP_022019881.1	uncharacterized protein LOC110919943	Helianthus annuus	nr	diaBlastP	3.8e-71
3952	8080	7	517	1	XP_022154919.1	uncharacterized protein LOC111022065	Momordica charantia	nr	diaBlastP	3.2e-60
3953	8080	116	524	1	CAN65182.1	hypothetical protein VITISV_029570	Vitis vinifera	nr	diaBlastP	6.2e-48
3954	8080	2	517	1	XP_019071858.1	PREDICTED: uncharacterized protein LOC100853407	Vitis vinifera	nr	diaBlastP	1.9e-44
3955	8080	5	517	1	OMO60730.1	Reverse transcriptase, RNA-dependent DNA polymerase	Corchorus capsularis	nr	diaBlastP	1.9e-44
3956	8080	18	514	1	XP_018505492.1	PREDICTED: uncharacterized protein LOC103957791	Pyrus x bretschneideri	nr	diaBlastP	7.8e-43
3957	8082	6	348	1	AGM34082.1	hypothetical protein	Lactuca sativa	nr	diaBlastP	1.2e-85
3958	8082	18	361	1	EXX76353.1	gag-pol fusion protein	Rhizophagus irregularis DAOM 197198w	nr	diaBlastP	3.5e-80
3959	8082	130	350	1	AGM34084.1	cysteine-rich RLK	Lactuca sativa	nr	diaBlastP	1.9e-78
3960	8082	8	350	1	KYP38726.1	Retrovirus-related Pol polyprotein from transposon TNT 1-94	Cajanus cajan	nr	diaBlastP	3.7e-74
3961	8082	6	350	1	KYP66812.1	Retrovirus-related Pol polyprotein from transposon TNT 1-94	Cajanus cajan	nr	diaBlastP	3.7e-74
3962	8084	65	118	1	XP_010647728.1	PREDICTED: probable E3 ubiquitin ligase SUD1 isoform X2	Vitis vinifera	nr	diaBlastP	1.6e-23
3963	8084	65	118	1	XP_009418267.1	PREDICTED: probable E3 ubiquitin ligase SUD1	Musa acuminata subsp. malaccensis	nr	diaBlastP	1.6e-23
3964	8084	65	118	1	XP_010647727.1	PREDICTED: probable E3 ubiquitin ligase SUD1 isoform X1	Vitis vinifera	nr	diaBlastP	1.6e-23
3965	8084	65	118	1	CAN65907.1	hypothetical protein VITISV_004874	Vitis vinifera	nr	diaBlastP	1.6e-23
3966	8084	65	118	1	XP_017256135.1	PREDICTED: probable E3 ubiquitin ligase SUD1 isoform X1	Daucus carota subsp. sativus	nr	diaBlastP	2.7e-23
3967	8086	2	444	1	XP_019107873.1	PREDICTED: uncharacterized protein LOC104906241	Beta vulgaris subsp. vulgaris	nr	diaBlastP	1.2e-198
3968	8086	2	444	1	XP_021745243.1	LOW QUALITY PROTEIN: uncharacterized protein LOC110711169	Chenopodium quinoa	nr	diaBlastP	2.2e-195
3969	8086	2	439	1	PIN01369.1	DNA-directed DNA polymerase	Handroanthus impetiginosus	nr	diaBlastP	8.3e-195
3970	8086	1	442	1	XP_008229105.1	PREDICTED: uncharacterized protein LOC103328489	Prunus mume	nr	diaBlastP	5.1e-192
3971	8086	2	442	1	XP_017186562.1	PREDICTED: uncharacterized protein LOC108172897	Malus domestica	nr	diaBlastP	1.1e-186
3972	8085	59	339	1	OTG24364.1	putative retrotransposon Orf1	Helianthus annuus	nr	diaBlastP	2.3e-31
3973	8085	59	339	1	XP_022037372.1	uncharacterized protein LOC110940121	Helianthus annuus	nr	diaBlastP	2.3e-31
3974	8087	5	176	1	XP_022019320.1	uncharacterized protein LOC110919354	Helianthus annuus	nr	diaBlastP	1.1e-28
3975	8087	45	176	1	XP_021990011.1	uncharacterized protein LOC110886505	Helianthus annuus	nr	diaBlastP	3.1e-28
3976	8087	44	176	1	XP_022039988.1	uncharacterized protein LOC110942522	Helianthus annuus	nr	diaBlastP	3.1e-28
3977	8087	38	176	1	XP_021978163.1	protein ALP1-like	Helianthus annuus	nr	diaBlastP	4.1e-28
3978	8087	38	176	1	XP_022031373.1	uncharacterized protein LOC110932339	Helianthus annuus	nr	diaBlastP	4.1e-28
3979	8089	1044	1428	1	OTG04157.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	3.3e-144
3980	8089	1044	1428	1	OTG18542.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	3.3e-144
3981	8089	1044	1428	1	OTG37453.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	5.6e-144
3982	8089	1026	1430	1	XP_022026692.1	uncharacterized protein LOC110927330	Helianthus annuus	nr	diaBlastP	3.9e-129
3983	8089	895	1429	1	XP_022019213.1	uncharacterized protein LOC110919247	Helianthus annuus	nr	diaBlastP	1.8e-110
3984	8090	13	152	1	KVI01281.1	Protein of unknown function DUF92, TMEM19	Cynara cardunculus var. scolymus	nr	diaBlastP	2.5e-66
3985	8090	13	152	1	XP_022027336.1	protein PGR	Helianthus annuus	nr	diaBlastP	5.7e-63
3986	8090	13	152	1	XP_007013284.2	PREDICTED: VTE6-related protein At5g19930	Theobroma cacao	nr	diaBlastP	1.0e-56
3987	8090	13	152	1	XP_015944356.1	protein PGR	Arachis duranensis	nr	diaBlastP	1.4e-56
3988	8090	10	152	1	XP_021831254.1	protein PGR	Prunus avium	nr	diaBlastP	3.1e-56
3989	8091	135	237	1	KVI09269.1	Glycosyl transferase, family 29	Cynara cardunculus var. scolymus	nr	diaBlastP	3.6e-46
3990	8091	140	237	1	XP_022005675.1	sialyltransferase-like protein 1	Helianthus annuus	nr	diaBlastP	8.1e-46
3991	8091	140	237	1	XP_011098965.1	sialyltransferase-like protein 1 isoform X2	Sesamum indicum	nr	diaBlastP	2.4e-42
3992	8091	140	237	1	XP_020554569.1	sialyltransferase-like protein 1 isoform X1	Sesamum indicum	nr	diaBlastP	2.4e-42
3993	8091	140	237	1	XP_012478620.1	PREDICTED: uncharacterized protein LOC105794147	Gossypium raimondii	nr	diaBlastP	3.2e-42
3994	8092	65	135	1	KVI00595.1	Myc-type, basic helix-loop-helix (bHLH) domain-containing protein	Cynara cardunculus var. scolymus	nr	diaBlastP	2.7e-24
3995	8098	109	1349	1	KYP64614.1	Retrovirus-related Pol polyprotein from transposon TNT 1-94, partial	Cajanus cajan	nr	diaBlastP	0.0e+00
3996	8098	57	1349	1	CAN79884.1	hypothetical protein VITISV_002539	Vitis vinifera	nr	diaBlastP	0.0e+00
3997	8098	57	1349	1	OTF88012.1	putative zinc finger, CCHC-type	Helianthus annuus	nr	diaBlastP	0.0e+00
3998	8098	57	1349	1	OTG14868.1	putative zinc finger, CCHC-type	Helianthus annuus	nr	diaBlastP	0.0e+00
3999	8098	57	1333	1	CAN78022.1	hypothetical protein VITISV_015518	Vitis vinifera	nr	diaBlastP	0.0e+00
4000	8100	147	609	1	XP_022035835.1	uncharacterized protein LOC110937694 isoform X1	Helianthus annuus	nr	diaBlastP	3.0e-21
4001	8099	65	1143	1	OTG37047.1	putative reverse transcriptase domain-containing protein	Helianthus annuus	nr	diaBlastP	0.0e+00
4002	8099	65	1145	1	OTG19729.1	putative reverse transcriptase domain-containing protein	Helianthus annuus	nr	diaBlastP	0.0e+00
4003	8099	65	1145	1	OTG19730.1	putative reverse transcriptase domain-containing protein	Helianthus annuus	nr	diaBlastP	0.0e+00
4004	8099	65	1142	1	OTG05998.1	putative reverse transcriptase domain-containing protein	Helianthus annuus	nr	diaBlastP	0.0e+00
4005	8099	266	1142	1	OTG02564.1	putative reverse transcriptase domain-containing protein	Helianthus annuus	nr	diaBlastP	0.0e+00
4006	8102	1	117	1	AGM34084.1	cysteine-rich RLK	Lactuca sativa	nr	diaBlastP	8.0e-44
4007	8102	1	117	1	AGM34082.1	hypothetical protein	Lactuca sativa	nr	diaBlastP	7.5e-42
4008	8102	2	115	1	EXX58445.1	gag-pol fusion protein	Rhizophagus irregularis DAOM 197198w	nr	diaBlastP	4.3e-29
4009	8102	2	115	1	EXX76353.1	gag-pol fusion protein	Rhizophagus irregularis DAOM 197198w	nr	diaBlastP	5.6e-29
4010	8102	2	110	1	KZN00833.1	hypothetical protein DCAR_009587	Daucus carota subsp. sativus	nr	diaBlastP	9.9e-26
4011	8105	30	342	1	AGM34082.1	hypothetical protein	Lactuca sativa	nr	diaBlastP	2.1e-62
4012	8105	39	427	1	AGM34085.1	cysteine-rich RLK	Lactuca sativa	nr	diaBlastP	1.8e-53
4013	8105	1	427	1	KYP66812.1	Retrovirus-related Pol polyprotein from transposon TNT 1-94	Cajanus cajan	nr	diaBlastP	1.4e-42
4014	8105	1	427	1	KYP33754.1	Retrovirus-related Pol polyprotein from transposon TNT 1-94	Cajanus cajan	nr	diaBlastP	2.4e-42
4015	8105	1	427	1	KYP64004.1	Retrovirus-related Pol polyprotein from transposon TNT 1-94, partial	Cajanus cajan	nr	diaBlastP	3.2e-42
4016	8107	6	279	1	XP_022033561.1	uncharacterized protein LOC110935484	Helianthus annuus	nr	diaBlastP	7.7e-54
4017	8107	6	279	1	XP_022015088.1	uncharacterized protein LOC110914610	Helianthus annuus	nr	diaBlastP	7.7e-54
4018	8107	1	279	1	OTG14527.1	putative zinc finger, CCHC-type	Helianthus annuus	nr	diaBlastP	5.5e-52
4019	8107	6	279	1	XP_021999487.1	uncharacterized protein LOC110896464	Helianthus annuus	nr	diaBlastP	3.0e-50
4020	8107	6	279	1	XP_022018194.1	uncharacterized protein LOC110918139	Helianthus annuus	nr	diaBlastP	6.8e-50
4021	8108	7	274	1	XP_022015088.1	uncharacterized protein LOC110914610	Helianthus annuus	nr	diaBlastP	7.6e-60
4022	8108	7	274	1	XP_022033561.1	uncharacterized protein LOC110935484	Helianthus annuus	nr	diaBlastP	2.9e-59
4023	8108	7	264	1	XP_021995823.1	uncharacterized protein LOC110893006	Helianthus annuus	nr	diaBlastP	2.9e-59
4024	8108	7	264	1	XP_022022335.1	uncharacterized protein LOC110922327	Helianthus annuus	nr	diaBlastP	2.9e-59
4025	8108	7	269	1	XP_022018194.1	uncharacterized protein LOC110918139	Helianthus annuus	nr	diaBlastP	6.4e-59
4026	8112	1	337	1	XP_022020970.1	uncharacterized protein LOC110921017	Helianthus annuus	nr	diaBlastP	1.3e-110
4027	8112	1	338	1	OTG17331.1	putative RING/U-box superfamily protein	Helianthus annuus	nr	diaBlastP	5.3e-93
4028	8112	1	338	1	XP_021976291.1	uncharacterized protein LOC110871845, partial	Helianthus annuus	nr	diaBlastP	5.3e-93
4029	8112	1	311	1	KVI05506.1	Zinc finger, RING/FYVE/PHD-type, partial	Cynara cardunculus var. scolymus	nr	diaBlastP	9.1e-93
4030	8112	1	337	1	XP_011075644.1	uncharacterized protein LOC105160078, partial	Sesamum indicum	nr	diaBlastP	9.4e-82
4031	8113	1	417	1	XP_022022768.1	uncharacterized protein LOC110922575	Helianthus annuus	nr	diaBlastP	4.5e-110
4032	8113	1	414	1	XP_022007720.1	uncharacterized protein LOC110906982	Helianthus annuus	nr	diaBlastP	5.8e-110
4033	8113	1	417	1	XP_022036694.1	uncharacterized protein LOC110939292	Helianthus annuus	nr	diaBlastP	7.6e-110
4034	8113	9	414	1	XP_022042028.1	uncharacterized protein LOC110944683	Helianthus annuus	nr	diaBlastP	2.7e-99
4035	8113	2	407	1	XP_017245786.1	PREDICTED: uncharacterized protein LOC108217466	Daucus carota subsp. sativus	nr	diaBlastP	7.4e-81
4036	8114	104	539	1	XP_022033791.1	UDP-glycosyltransferase 87A1-like	Helianthus annuus	nr	diaBlastP	1.3e-146
4037	8114	104	539	1	KVI03801.1	hypothetical protein Ccrd_017889	Cynara cardunculus var. scolymus	nr	diaBlastP	3.3e-145
4038	8114	104	541	1	OTG27266.1	putative UDP-Glycosyltransferase superfamily protein	Helianthus annuus	nr	diaBlastP	1.3e-144
4039	8114	104	539	1	XP_022033792.1	UDP-glycosyltransferase 87A2-like	Helianthus annuus	nr	diaBlastP	1.6e-144
4040	8114	104	539	1	XP_022033793.1	UDP-glycosyltransferase 87A2-like	Helianthus annuus	nr	diaBlastP	4.9e-141
4041	8115	3	380	1	KVH87646.1	Protein of unknown function DUF1296, partial	Cynara cardunculus var. scolymus	nr	diaBlastP	2.1e-162
4042	8115	6	380	1	XP_022035510.1	uncharacterized protein LOC110937393 isoform X1	Helianthus annuus	nr	diaBlastP	3.3e-160
4043	8115	6	380	1	XP_022035511.1	uncharacterized protein LOC110937393 isoform X2	Helianthus annuus	nr	diaBlastP	3.1e-158
4044	8115	7	380	1	XP_022011982.1	uncharacterized protein LOC110911667 isoform X1	Helianthus annuus	nr	diaBlastP	3.2e-155
4045	8115	7	380	1	XP_022011983.1	uncharacterized protein LOC110911667 isoform X2	Helianthus annuus	nr	diaBlastP	2.3e-153
4046	8120	4	634	1	OTG36565.1	putative reverse transcriptase domain-containing protein	Helianthus annuus	nr	diaBlastP	1.4e-251
4047	8120	4	634	1	OTG27877.1	putative reverse transcriptase domain, Ribonuclease H-like domain protein	Helianthus annuus	nr	diaBlastP	6.8e-251
4048	8120	4	633	1	OTG01228.1	putative reverse transcriptase domain-containing protein	Helianthus annuus	nr	diaBlastP	2.0e-250
4049	8120	2	632	1	OTG02564.1	putative reverse transcriptase domain-containing protein	Helianthus annuus	nr	diaBlastP	2.6e-250
4050	8120	4	634	1	OTG31196.1	putative reverse transcriptase domain-containing protein	Helianthus annuus	nr	diaBlastP	2.6e-250
4051	8121	1	454	1	XP_022029660.1	protein EXPORTIN 1A	Helianthus annuus	nr	diaBlastP	8.5e-246
4052	8121	1	454	1	XP_022034319.1	protein EXPORTIN 1A-like	Helianthus annuus	nr	diaBlastP	3.3e-234
4053	8121	2	454	1	XP_015878554.1	PREDICTED: protein EXPORTIN 1A isoform X1	Ziziphus jujuba	nr	diaBlastP	1.1e-232
4054	8121	2	454	1	XP_017977054.1	PREDICTED: protein EXPORTIN 1A	Theobroma cacao	nr	diaBlastP	1.8e-232
4055	8121	2	454	1	XP_002319892.2	exportin1 family protein	Populus trichocarpa	nr	diaBlastP	9.1e-232
4056	8122	3	670	1	OTG10571.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	1.4e-222
4057	8122	3	670	1	OTG12547.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	1.6e-221
4058	8122	3	670	1	OTF87381.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	1.3e-218
4059	8122	3	670	1	OTG00134.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	3.1e-217
4060	8122	3	670	1	OTG12858.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	1.5e-211
4061	8125	10	112	1	XP_022013982.1	cysteine-rich receptor-like protein kinase 8	Helianthus annuus	nr	diaBlastP	3.7e-23
4062	8126	1	149	1	XP_022023890.1	uncharacterized protein LOC110924162	Helianthus annuus	nr	diaBlastP	2.7e-57
4063	8126	1	149	1	XP_022024506.1	uncharacterized protein LOC110924827	Helianthus annuus	nr	diaBlastP	6.7e-56
4064	8126	1	149	1	XP_022019101.1	uncharacterized protein LOC110919129	Helianthus annuus	nr	diaBlastP	1.1e-55
4065	8126	1	149	1	XP_022007719.1	uncharacterized protein LOC110906981	Helianthus annuus	nr	diaBlastP	1.5e-55
4066	8126	1	149	1	XP_022041858.1	uncharacterized protein LOC110944504	Helianthus annuus	nr	diaBlastP	8.2e-54
4067	8129	3	904	1	KYP33754.1	Retrovirus-related Pol polyprotein from transposon TNT 1-94	Cajanus cajan	nr	diaBlastP	6.4e-242
4068	8129	50	904	1	KYP66812.1	Retrovirus-related Pol polyprotein from transposon TNT 1-94	Cajanus cajan	nr	diaBlastP	5.1e-239
4069	8129	2	905	1	KYP33249.1	Retrovirus-related Pol polyprotein from transposon TNT 1-94	Cajanus cajan	nr	diaBlastP	1.1e-236
4070	8129	2	905	1	KYP78729.1	Retrovirus-related Pol polyprotein from transposon TNT 1-94	Cajanus cajan	nr	diaBlastP	3.1e-236
4071	8129	3	904	1	KYP64004.1	Retrovirus-related Pol polyprotein from transposon TNT 1-94, partial	Cajanus cajan	nr	diaBlastP	9.9e-235
4072	8130	1	111	1	OTF96013.1	putative disease resistance protein (CC-NBS-LRR class) family	Helianthus annuus	nr	diaBlastP	6.1e-28
4073	8130	1	111	1	XP_022012802.1	probable disease resistance protein At5g66900	Helianthus annuus	nr	diaBlastP	6.1e-28
4074	8130	1	111	1	XP_022012799.1	probable disease resistance protein At5g66900	Helianthus annuus	nr	diaBlastP	3.0e-27
4075	8130	10	111	1	KVH92583.1	Disease resistance protein	Cynara cardunculus var. scolymus	nr	diaBlastP	6.7e-27
4076	8130	1	111	1	XP_022008808.1	probable disease resistance protein At5g66900	Helianthus annuus	nr	diaBlastP	6.7e-27
4077	8131	3	455	1	XP_022015088.1	uncharacterized protein LOC110914610	Helianthus annuus	nr	diaBlastP	3.3e-83
4078	8131	3	455	1	XP_022033561.1	uncharacterized protein LOC110935484	Helianthus annuus	nr	diaBlastP	4.3e-83
4079	8131	2	455	1	OTG14527.1	putative zinc finger, CCHC-type	Helianthus annuus	nr	diaBlastP	9.9e-80
4080	8131	3	455	1	XP_022018194.1	uncharacterized protein LOC110918139	Helianthus annuus	nr	diaBlastP	3.8e-79
4081	8131	3	455	1	XP_021995823.1	uncharacterized protein LOC110893006	Helianthus annuus	nr	diaBlastP	2.1e-77
4082	8134	268	399	1	EXX76353.1	gag-pol fusion protein	Rhizophagus irregularis DAOM 197198w	nr	diaBlastP	4.3e-33
4083	8134	265	399	1	KYP55882.1	Copia protein, partial	Cajanus cajan	nr	diaBlastP	4.3e-33
4084	8134	268	399	1	KYP33754.1	Retrovirus-related Pol polyprotein from transposon TNT 1-94	Cajanus cajan	nr	diaBlastP	2.1e-32
4085	8134	268	399	1	KYP56106.1	Copia protein	Cajanus cajan	nr	diaBlastP	2.1e-32
4086	8134	272	399	1	XP_017252147.1	PREDICTED: uncharacterized mitochondrial protein AtMg00810-like, partial	Daucus carota subsp. sativus	nr	diaBlastP	4.7e-32
4087	8135	2	107	1	XP_022024599.1	uncharacterized protein LOC110924935	Helianthus annuus	nr	diaBlastP	8.4e-36
4088	8135	4	259	1	OTG10571.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	1.9e-35
4089	8136	1	344	1	EXX50149.1	gag-pol fusion protein	Rhizophagus irregularis DAOM 197198w	nr	diaBlastP	1.2e-140
4090	8136	1	344	1	BAA22288.1	polyprotein	Oryza australiensis	nr	diaBlastP	6.3e-126
4091	8136	1	344	1	OTG07182.1	putative zinc finger, CCHC-type	Helianthus annuus	nr	diaBlastP	3.1e-125
4092	8136	1	344	1	AAC26250.1	contains similarity to reverse transcriptase (Pfam: rvt.hmm, score 19.29)	Arabidopsis thaliana	nr	diaBlastP	2.5e-122
4093	8136	1	344	1	ADB85429.1	putative retrotransposon protein	Phyllostachys edulis	nr	diaBlastP	3.7e-118
4094	8137	1	167	1	OTG16266.1	putative reverse transcriptase domain-containing protein	Helianthus annuus	nr	diaBlastP	2.9e-63
4095	8137	1	167	1	XP_022041360.1	uncharacterized protein LOC110943937	Helianthus annuus	nr	diaBlastP	8.5e-63
4096	8137	1	167	1	XP_022007316.1	uncharacterized protein LOC110906501	Helianthus annuus	nr	diaBlastP	8.5e-63
4097	8137	1	167	1	XP_022014263.1	uncharacterized protein LOC110913749	Helianthus annuus	nr	diaBlastP	1.1e-62
4098	8137	1	167	1	XP_022042069.1	uncharacterized protein LOC110944728	Helianthus annuus	nr	diaBlastP	1.9e-62
4099	8139	1	166	1	XP_021986261.1	uncharacterized protein LOC110882584	Helianthus annuus	nr	diaBlastP	4.1e-55
4100	8139	1	184	1	XP_021994047.1	uncharacterized protein LOC110890728	Helianthus annuus	nr	diaBlastP	1.2e-54
4101	8139	1	166	1	XP_022019459.1	uncharacterized protein LOC110919499	Helianthus annuus	nr	diaBlastP	2.7e-54
4102	8139	1	184	1	XP_022024552.1	uncharacterized protein LOC110924882	Helianthus annuus	nr	diaBlastP	2.7e-54
4103	8139	1	181	1	XP_022030383.1	uncharacterized protein LOC110931292	Helianthus annuus	nr	diaBlastP	3.5e-54
4104	8141	6	454	1	XP_022015088.1	uncharacterized protein LOC110914610	Helianthus annuus	nr	diaBlastP	3.6e-85
4105	8141	6	454	1	XP_022033561.1	uncharacterized protein LOC110935484	Helianthus annuus	nr	diaBlastP	1.4e-84
4106	8141	6	401	1	OTG14527.1	putative zinc finger, CCHC-type	Helianthus annuus	nr	diaBlastP	3.2e-78
4107	8141	6	450	1	XP_021995823.1	uncharacterized protein LOC110893006	Helianthus annuus	nr	diaBlastP	2.1e-77
4108	8141	6	410	1	XP_022018194.1	uncharacterized protein LOC110918139	Helianthus annuus	nr	diaBlastP	3.6e-77
4109	8140	969	1752	1	XP_021976430.1	uncharacterized protein LOC110871979 isoform X2	Helianthus annuus	nr	diaBlastP	8.2e-55
4110	8140	969	1752	1	XP_021976429.1	uncharacterized protein LOC110871979 isoform X1	Helianthus annuus	nr	diaBlastP	8.2e-55
4111	8140	969	1752	1	XP_021976431.1	uncharacterized protein LOC110871979 isoform X3	Helianthus annuus	nr	diaBlastP	8.2e-55
4112	8140	946	1711	1	XP_021972245.1	uncharacterized protein LOC110867577	Helianthus annuus	nr	diaBlastP	1.4e-46
4113	8140	952	1612	1	XP_022035835.1	uncharacterized protein LOC110937694 isoform X1	Helianthus annuus	nr	diaBlastP	7.2e-43
4114	8142	4	228	1	XP_022019158.1	uncharacterized protein LOC110919188	Helianthus annuus	nr	diaBlastP	2.9e-54
4115	8142	51	221	1	CAN62791.1	hypothetical protein VITISV_024905	Vitis vinifera	nr	diaBlastP	3.1e-48
4116	8142	48	221	1	OTF85719.1	putative ribonuclease H-like domain, Reverse transcriptase, RNA-dependent DNA polymerase	Helianthus annuus	nr	diaBlastP	9.0e-48
4117	8142	45	221	1	ABF97883.1	retrotransposon protein, putative, unclassified	Oryza sativa Japonica Group	nr	diaBlastP	1.2e-47
4118	8142	57	221	1	OTG12547.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	3.4e-47
4119	8147	80	274	1	XP_022040665.1	uncharacterized protein LOC110943222	Helianthus annuus	nr	diaBlastP	2.5e-32
4120	8147	80	274	1	XP_022004272.1	uncharacterized protein LOC110901801	Helianthus annuus	nr	diaBlastP	7.3e-32
4121	8147	80	274	1	XP_022007494.1	uncharacterized protein LOC110906706	Helianthus annuus	nr	diaBlastP	4.7e-31
4122	8147	80	274	1	XP_022032216.1	uncharacterized protein LOC110933295	Helianthus annuus	nr	diaBlastP	8.1e-31
4123	8147	80	274	1	XP_022003567.1	uncharacterized protein LOC110901021	Helianthus annuus	nr	diaBlastP	8.1e-31
4124	8146	2	902	1	OTG32033.1	putative reverse transcriptase domain-containing protein	Helianthus annuus	nr	diaBlastP	0.0e+00
4125	8146	2	902	1	OTG35153.1	putative reverse transcriptase domain-containing protein	Helianthus annuus	nr	diaBlastP	0.0e+00
4126	8146	2	902	1	OTG38445.1	putative reverse transcriptase domain-containing protein	Helianthus annuus	nr	diaBlastP	0.0e+00
4127	8146	2	902	1	OTG24148.1	putative reverse transcriptase domain-containing protein	Helianthus annuus	nr	diaBlastP	0.0e+00
4128	8146	2	902	1	OTG22671.1	putative reverse transcriptase domain-containing protein	Helianthus annuus	nr	diaBlastP	0.0e+00
4129	8149	1	606	1	KVI04845.1	hypothetical protein Ccrd_016838	Cynara cardunculus var. scolymus	nr	diaBlastP	2.1e-241
4130	8149	30	606	1	XP_021974793.1	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase A-like	Helianthus annuus	nr	diaBlastP	2.2e-222
4131	8149	1	606	1	XP_021977251.1	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase A-like	Helianthus annuus	nr	diaBlastP	2.8e-209
4132	8149	6	606	1	KVI04838.1	Peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase A	Cynara cardunculus var. scolymus	nr	diaBlastP	4.3e-202
4133	8149	10	606	1	XP_021974794.1	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase A-like	Helianthus annuus	nr	diaBlastP	1.1e-194
4134	8150	91	746	1	EXX50149.1	gag-pol fusion protein	Rhizophagus irregularis DAOM 197198w	nr	diaBlastP	9.1e-287
4135	8150	91	745	1	BAA22288.1	polyprotein	Oryza australiensis	nr	diaBlastP	8.9e-234
4136	8150	91	746	1	AAC26250.1	contains similarity to reverse transcriptase (Pfam: rvt.hmm, score 19.29)	Arabidopsis thaliana	nr	diaBlastP	1.1e-226
4137	8150	108	746	1	OTG07182.1	putative zinc finger, CCHC-type	Helianthus annuus	nr	diaBlastP	8.4e-224
4138	8150	76	746	1	AMY96445.1	gag/pol protein	Momordica dioica	nr	diaBlastP	4.6e-206
4139	8154	7	777	1	AGM34082.1	hypothetical protein	Lactuca sativa	nr	diaBlastP	5.4e-149
4140	8154	17	767	1	AAF18630.1	F5J5.1	Arabidopsis thaliana	nr	diaBlastP	3.2e-109
4141	8154	19	779	1	ABF97883.1	retrotransposon protein, putative, unclassified	Oryza sativa Japonica Group	nr	diaBlastP	2.4e-104
4142	8154	441	776	1	EXX76353.1	gag-pol fusion protein	Rhizophagus irregularis DAOM 197198w	nr	diaBlastP	1.7e-102
4143	8154	19	779	1	ABF96984.1	retrotransposon protein, putative, Ty1-copia subclass	Oryza sativa Japonica Group	nr	diaBlastP	3.7e-97
4144	8159	1	817	1	OTG12547.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	8.7e-268
4145	8159	1	817	1	OTG10571.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	9.6e-267
4146	8159	1	817	1	OTF87381.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	2.6e-264
4147	8159	1	817	1	OTG00134.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	1.7e-263
4148	8159	1	810	1	OTG12858.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	6.4e-255
4149	8166	622	1203	1	OTG18542.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	2.2e-165
4150	8166	622	1203	1	OTG37453.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	2.2e-165
4151	8166	622	1203	1	OTG04157.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	2.9e-165
4152	8166	622	1203	1	XP_022026692.1	uncharacterized protein LOC110927330	Helianthus annuus	nr	diaBlastP	3.1e-143
4153	8166	605	1203	1	AAN40030.1	putative gag-pol polyprotein	Zea mays	nr	diaBlastP	5.2e-74
4154	8167	745	1327	1	OTG18542.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	1.3e-155
4155	8167	745	1327	1	OTG04157.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	1.7e-155
4156	8167	745	1327	1	OTG37453.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	3.7e-155
